구절	교정전	교정후
1 Samuel 6:18	Beth-shemite.	Bethshemite.
1 Samuel 6:19	Beth-shemesh,	Bethshemesh,
1 Samuel 6:20	Beth-shemesh	Bethshemesh
1 Samuel 6:21	Kirjath-jearim,	Kirjathjearim,
1 Samuel 7:1	Kirjath-jearim	Kirjathjearim
1 Samuel 7:2	Kirjath-jearim,	Kirjathjearim,
1 Samuel 7:11	Beth-car.	Bethcar.
1 Samuel 7:12	Eben-ezer,	Ebenezer,
1 Samuel 7:16	Beth-el,	Bethel,
1 Samuel 8:2	Beer-sheba.	Beersheba.
1 Samuel 10:3	Beth-el,	Bethel,
1 Samuel 11:1	Jabesh-gilead:	Jabeshgilead:
1 Samuel 11:9	Jabesh-gilead,	Jabeshgilead,
1 Samuel 13:2	Beth-el,	Bethel,
1 Samuel 13:5	Beth-aven.	Bethaven.
1 Samuel 13:18	Beth-horon:	Bethhoron:
1 Samuel 14:3	I-chabod's	Ichabod's
1 Samuel 14:23	Beth-aven.	Bethaven.
1 Samuel 14:49	Melchi-shua:	Melchishua:
1 Samuel 16:1	Beth-lehemite:	Bethlehemite:
1 Samuel 16:4	Beth-lehem.	Bethlehem.
1 Samuel 16:18	Beth-lehemite,	Bethlehemite,
1 Samuel 17:1	Ephes-dammim.	Ephesdammim.
1 Samuel 17:12	Beth-lehem-judah,	Bethlehemjudah,
1 Samuel 17:15	Beth-lehem.	Bethlehem.
1 Samuel 17:58	Beth-lehemite.	Bethlehemite.
1 Samuel 20:6	Beth-lehem	Bethlehem
1 Samuel 20:28	Beth-lehem:	Bethlehem:
1 Samuel 23:29	En-gedi.	Engedi.
1 Samuel 24:1	En-gedi.	Engedi.
1 Samuel 28:7	En-dor.	Endor.
1 Samuel 30:27	Beth-el,	Bethel,
1 Samuel 31:2	Malchi-shua,	Malchishua,
1 Samuel 31:10	Beth-shan.	Bethshan.
1 Samuel 31:11	Jabesh-gilead	Jabeshgilead
1 Samuel 31:12	Beth-shan,	Bethshan,
2 Samuel 2:4	Jabesh-gilead	Jabeshgilead
